"station_code","tau_mk","p_valor_mk","slope_sen","p_valor_sen","ponto_mudanca","p_valor_pettitt","n_anomalias","n_extremos","tendencia"
"10100000",-0.17,0,-21.79,0.35,138,0.221958724370949,5,0,"Negativa"
"11400000",-0.03,0.5,-2.5,0.92,24,0.733729203956386,5,0,"Não significativa"
"11500000",-0.04,0.38,-10.77,0.75,139,0.702852739227974,4,0,"Não significativa"
"13150000",-0.11,0.03,-32.94,0.39,152,0.0776298628187043,5,0,"Negativa"
"14100000",0.02,0.63,-2.45,0.97,152,0.50769069331296,2,0,"Não significativa"
"15030000",-0.14,0.01,-82.17,0.26,140,0.213236027379812,3,0,"Negativa"
"15040000",0.21,0,15.02,0.29,38,0.204781920514403,0,0,"Positiva"
"15050000",0.04,0.42,-0.03,0.14,125,0.0136958562840931,8,0,"Não significativa"
"15120001",0.02,0.72,-0.02,0.7,49,0.580656046320959,7,0,"Não significativa"
"15124009",-0.34,0,-0.15,0,101,0.000165549557146138,6,0,"Negativa"
"15130000",-0.16,0,-0.5,0.05,125,0.0404083671409845,11,0,"Negativa"
"15150000",-0.06,0.19,-0.53,0.2,126,0.112969002227237,8,0,"Não significativa"
"15200000",-0.17,0,-1.91,0.07,126,0.102167836689181,11,0,"Negativa"
"15200010",-0.25,0,-5.59,0.02,78,0.0732398685563273,3,0,"Negativa"
"15248010",0.07,0.17,-0.01,0.73,149,0.518740396825034,13,0,"Não significativa"
"15250000",-0.18,0,-7.35,0.11,114,0.0928358458542033,7,2,"Negativa"
"15250001",-0.22,0,-12.32,0.04,102,0.0684380636430688,7,1,"Negativa"
"15318000",-0.32,0,-35.21,0.01,55,0.0638483591905334,8,0,"Negativa"
"15324000",-0.05,0.28,-0.1,0.21,161,0.328265071961709,7,0,"Não significativa"
"15326010",0.09,0.14,-0.79,0.23,30,0.331736958412825,9,0,"Não significativa"
"15400000",-0.11,0.02,-17.57,0.14,125,0.157035024395806,11,1,"Negativa"
"15430000",0.3,0,-0.01,0.97,24,1,6,0,"Negativa"
"15490500",0.41,0,0.02,0.76,47,0.848492291253598,3,0,"Positiva"
"15550000",-0.02,0.66,-0.14,0.61,162,0.692713147705087,6,0,"Não significativa"
"15552600",-0.19,0,-0.08,0.23,125,0.13781744563844,9,0,"Negativa"
"15558000",-0.15,0,-0.12,0.33,113,0.563118416070651,5,1,"Negativa"
"15558500",0.15,0.01,0.03,0.66,95,0.829555427866601,6,0,"Positiva"
"15559000",-0.36,0,-0.48,0.03,113,0.0779133700444915,9,0,"Negativa"
"15560000",-0.11,0.02,-0.53,0.23,125,0.459104378214839,6,0,"Negativa"
"15565000",0.17,0,-0.02,0.69,149,1,5,1,"Negativa"
"15580000",-0.06,0.27,-0.84,0.36,113,0.662764789029236,9,0,"Não significativa"
"15630000",-0.15,0,-26.06,0.09,113,0.203201467441733,7,1,"Negativa"
"15650000",0.03,0.51,-0.04,0.4,137,0.753178533397506,5,1,"Não significativa"
"15680000",0.16,0,0,0.88,71,0.98382282196145,7,0,"Positiva"
"15700000",0.01,0.9,-9.61,0.57,67,0.76830884835562,13,0,"Não significativa"
"15795000",0,0.95,-0.23,0.44,66,0.769829833163418,5,1,"Não significativa"
"15800000",0.05,0.31,-0.43,0.6,149,0.990065082983352,7,1,"Não significativa"
"15830000",0.14,0.02,-2.2,0.62,66,0.434200220522861,5,0,"Negativa"
"15910000",-0.07,0.19,-0.41,0.11,126,0.166374492604682,9,0,"Não significativa"
"15930000",0.01,0.9,-0.12,0.44,66,0.7517111669628,8,2,"Não significativa"
"16030000",0.02,0.76,9.28,0.89,25,0.162168552690789,8,0,"Não significativa"
"17050001",0.01,0.81,-53.24,0.5,152,0.234092719570445,8,0,"Não significativa"
